Date,Max_Temp,Max_Temp_Norm,Max_Temp_Depart,Min_Temp,Min_Temp_Norm,Min_Temp_Depart,Avg_Temp,Avg_Temp_Norm,Avg_Temp_Depart,Obs_Temp,Precipitation,Precipitation_Norm,Precipitation_Depart,Snowfall,Snowfall_Norm,Snowfall_Depart,HDD,HDD_Norm,HDD_Depart,CDD,CDD_Norm,CDD_Depart,GDD
1/1/2020,28,24.8,3.2,6,7.2,-1.2,17,16,1,7,0,0.03,-0.03,0,0.2,-0.2,48,49,-1,0,0,0,0
1/2/2020,36,24.7,11.3,7,6.9,0.1,21.5,15.8,5.7,34,0,0.04,-0.04,0,0.3,-0.3,43,49.2,-6.2,0,0,0,0
1/3/2020,38,24.5,13.5,30,6.7,23.3,34,15.6,18.4,31,0,0.03,-0.03,0,0.2,-0.2,31,49.4,-18.4,0,0,0,0
1/4/2020,35,24.4,10.6,23,6.4,16.6,29,15.4,13.6,23,0,0.03,-0.03,0,0.3,-0.3,36,49.6,-13.6,0,0,0,0
1/5/2020,29,24.2,4.8,22,6.2,15.8,25.5,15.2,10.3,26,0,0.04,-0.04,0,0.2,-0.2,39,49.8,-10.8,0,0,0,0
1/6/2020,37,24.1,12.9,21,5.9,15.1,29,15,14,21,0,0.03,-0.03,0,0.3,-0.3,36,50,-14,0,0,0,0
1/7/2020,37,24,13,20,5.7,14.3,28.5,14.8,13.7,24,0,0.03,-0.03,0,0.2,-0.2,36,50.2,-14.2,0,0,0,0
1/8/2020,30,23.9,6.1,-2,5.5,-7.5,14,14.7,-0.7,-1,0,0.03,-0.03,0,0.3,-0.3,51,50.3,0.7,0,0,0,0
1/9/2020,22,23.8,-1.8,-3,5.3,-8.3,9.5,14.5,-5,22,0,0.04,-0.04,0,0.3,-0.3,55,50.5,4.5,0,0,0,0
1/10/2020,33,23.7,9.3,20,5.1,14.9,26.5,14.4,12.1,20,0,0.03,-0.03,0,0.3,-0.3,38,50.6,-12.6,0,0,0,0
1/11/2020,26,23.6,2.4,3,4.9,-1.9,14.5,14.2,0.3,4,0,0.03,-0.03,0,0.3,-0.3,50,50.8,-0.8,0,0,0,0
1/12/2020,20,23.6,-3.6,2,4.7,-2.7,11,14.1,-3.1,2,0,0.03,-0.03,0,0.3,-0.3,54,50.9,3.1,0,0,0,0
1/13/2020,19,23.5,-4.5,1,4.5,-3.5,10,14,-4,9,0.07,0.03,0.04,1,0.3,0.7,55,51,4,0,0,0,0
1/14/2020,30,23.5,6.5,8,4.3,3.7,19,13.9,5.1,30,0.13,0.03,0.1,1.5,0.3,1.2,46,51.1,-5.1,0,0,0,0
1/15/2020,32,23.5,8.5,14,4.2,9.8,23,13.8,9.2,18,0,0.03,-0.03,0,0.3,-0.3,42,51.2,-9.2,0,0,0,0
1/16/2020,27,23.5,3.5,-7,4,-11,10,13.7,-3.7,-7,0,0.03,-0.03,0,0.3,-0.3,55,51.3,3.7,0,0,0,0
1/17/2020,7,23.5,-16.5,-8,3.9,-11.9,-0.5,13.7,-14.2,0,0,0.03,-0.03,0,0.3,-0.3,65,51.3,13.7,0,0,0,0
1/18/2020,25,23.5,1.5,0,3.7,-3.7,12.5,13.6,-1.1,24,0.27,0.02,0.25,3.5,0.4,3.1,52,51.4,0.6,0,0,0,0
1/19/2020,26,23.5,2.5,1,3.6,-2.6,13.5,13.6,-0.1,6,0.01,0.03,-0.02,0.5,0.3,0.2,51,51.4,-0.4,0,0,0,0
1/20/2020,15,23.6,-8.6,5,3.5,1.5,10,13.6,-3.6,6,0.0025,0.03,-0.03,"
0.025
",0.3,-0.3,55,51.4,3.6,0,0,0,0
1/21/2020,24,23.7,0.3,-3,3.5,-6.5,10.5,13.6,-3.1,-3,0,0.03,-0.03,0,0.4,-0.4,54,51.4,2.6,0,0,0,0
1/22/2020,28,23.7,4.3,-3,3.4,-6.4,12.5,13.6,-1.1,28,0.0025,0.03,-0.03,"
0.025
",0.3,-0.3,52,51.4,0.6,0,0,0,0
1/23/2020,34,23.8,10.2,26,3.4,22.6,30,13.6,16.4,26,0.28,0.03,0.25,3,0.4,2.6,35,51.4,-16.4,0,0,0,0
1/24/2020,34,23.9,10.1,25,3.3,21.7,29.5,13.6,15.9,30,0.0025,0.03,-0.03,"
0.025
",0.3,-0.3,35,51.4,-16.4,0,0,0,0
1/25/2020,36,24,12,30,3.3,26.7,33,13.7,19.3,31,0.0025,0.03,-0.03,"
0.025
",0.4,-0.4,32,51.3,-19.3,0,0,0,0
1/26/2020,35,24.2,10.8,24,3.3,20.7,29.5,13.7,15.8,24,0,0.03,-0.03,0,0.4,-0.4,35,51.3,-16.3,0,0,0,0
1/27/2020,26,24.3,1.7,24,3.3,20.7,25,13.8,11.2,25,0,0.02,-0.02,0,0.3,-0.3,40,51.2,-11.2,0,0,0,0
1/28/2020,32,24.5,7.5,17,3.4,13.6,24.5,13.9,10.6,17,0,0.03,-0.03,0,0.4,-0.4,40,51.1,-11.1,0,0,0,0
1/29/2020,20,24.6,-4.6,12,3.4,8.6,16,14,2,15,0.04,0.03,0.01,"
0.025
",0.4,-0.4,49,51,-2,0,0,0,0
1/30/2020,26,24.8,1.2,15,3.5,11.5,20.5,14.2,6.3,18,0,0.03,-0.03,0,0.3,-0.3,44,50.8,-6.8,0,0,0,0
1/31/2020,28,25,3,18,3.6,14.4,23,14.3,8.7,21,0,0.03,-0.03,0,0.4,-0.4,42,50.7,-8.7,0,0,0,0
2/1/2020,34,25.2,8.8,21,3.7,17.3,27.5,14.5,13,33,0,0.03,-0.03,0,0.4,-0.4,37,50.5,-13.5,0,0,0,0
2/2/2020,45,25.4,19.6,27,3.8,23.2,36,14.6,21.4,44,0,0.03,-0.03,0,0.4,-0.4,29,50.4,-21.4,0,0,0,0
2/3/2020,49,25.7,23.3,25,4,21,37,14.8,22.2,25,0,0.03,-0.03,0,0.4,-0.4,28,50.2,-22.2,0,0,0,0
2/4/2020,36,25.9,10.1,10,4.2,5.8,23,15,8,10,0,0.03,-0.03,0,0.3,-0.3,42,50,-8,0,0,0,0
2/5/2020,26,26.2,-0.2,1,4.3,-3.3,13.5,15.3,-1.8,3,0,0.03,-0.03,0,0.4,-0.4,51,49.7,1.3,0,0,0,0
2/6/2020,30,26.4,3.6,2,4.5,-2.5,16,15.5,0.5,2,0,0.03,-0.03,0,0.4,-0.4,49,49.5,-0.5,0,0,0,0
2/7/2020,34,26.7,7.3,1,4.8,-3.8,17.5,15.7,1.8,11,0,0.04,-0.04,0,0.4,-0.4,47,49.3,-2.3,0,0,0,0
2/8/2020,33,27,6,11,5,6,22,16,6,18,0.0025,0.03,-0.03,"
0.025
",0.4,-0.4,43,49,-6,0,0,0,0
2/9/2020,25,27.3,-2.3,8,5.2,2.8,16.5,16.3,0.2,12,0.04,0.04,0,0.5,0.4,0.1,48,48.7,-0.7,0,0,0,0
2/10/2020,29,27.6,1.4,-8,5.5,-13.5,10.5,16.6,-6.1,-5,0.21,0.04,0.17,5.2,0.4,4.8,54,48.4,5.6,0,0,0,0
2/11/2020,30,27.9,2.1,-5,5.8,-10.8,12.5,16.9,-4.4,23,0,0.03,-0.03,0,0.5,-0.5,52,48.1,3.9,0,0,0,0
2/12/2020,31,28.3,2.7,18,6.1,11.9,24.5,17.2,7.3,28,0.0025,0.04,-0.04,"
0.025
",0.4,-0.4,40,47.8,-7.8,0,0,0,0
2/13/2020,35,28.6,6.4,-9,6.4,-15.4,13,17.5,-4.5,-8,0.0025,0.04,-0.04,"
0.025
",0.4,-0.4,52,47.5,4.5,0,0,0,0
2/14/2020,3,29,-26,-17,6.7,-23.7,-7,17.8,-24.8,-16,0,0.04,-0.04,0,0.4,-0.4,72,47.2,24.8,0,0,0,0
2/15/2020,20,29.3,-9.3,-17,7.1,-24.1,1.5,18.2,-16.7,20,0,0.04,-0.04,0,0.4,-0.4,63,46.8,16.2,0,0,0,0
2/16/2020,37,29.7,7.3,8,7.4,0.6,22.5,18.5,4,8,0,0.04,-0.04,0,0.4,-0.4,42,46.4,-4.4,0,0,0,0
2/17/2020,26,30,-4,7,7.8,-0.8,16.5,18.9,-2.4,22,0,0.04,-0.04,0,0.4,-0.4,48,46.1,1.9,0,0,0,0
2/18/2020,39,30.4,8.6,18,8.1,9.9,28.5,19.3,9.2,20,0.1,0.04,0.06,1.5,0.4,1.1,36,45.7,-9.7,0,0,0,0
2/19/2020,26,30.8,-4.8,-1,8.5,-9.5,12.5,19.7,-7.2,-1,0,0.04,-0.04,0,0.3,-0.3,52,45.3,6.7,0,0,0,0
2/20/2020,26,31.2,-5.2,-12,8.9,-20.9,7,20.1,-13.1,-11,0,0.04,-0.04,0,0.5,-0.5,58,44.9,13.1,0,0,0,0
